AREA,PERIMETER,CO06_D00_,CO06_D00_I,STATE,COUNTY,NAME,LSAD,LSAD_TRANS
1.77533,7.1547,2,1,6,93,Siskiyou,6,County
0.28441,2.851,3,2,6,15,Del Norte,6,County
1.17568,4.53858,4,3,6,49,Modoc,6,County
0.99659,4.88195,5,4,6,23,Humboldt,6,County
0.88448,6.04412,6,5,6,105,Trinity,6,County
1.06268,5.50247,7,6,6,89,Shasta,6,County
1.30211,5.97156,8,7,6,35,Lassen,6,County
0.81064,4.96301,9,8,6,103,Tehama,6,County
0.71396,5.21779,10,9,6,63,Plumas,6,County
0.45596,4.13878,11,10,6,7,Butte,6,County
0.95226,5.33739,12,11,6,45,Mendocino,6,County
0.36041,3.26889,13,12,6,21,Glenn,6,County
0.26118,2.94705,14,13,6,91,Sierra,6,County
0.174,2.76462,15,14,6,115,Yuba,6,County
0.3586,3.58656,16,15,6,33,Lake,6,County
0.26355,3.42189,17,16,6,57,Nevada,6,County
0.31218,3.10632,18,17,6,11,Colusa,6,County
0.40513,4.25091,19,18,6,61,Placer,6,County
0.164,2.69812,20,19,6,101,Sutter,6,County
0.48004,3.69411,21,20,6,17,El Dorado,6,County
0.19898,2.12119,22,21,6,3,Alpine,6,County
0.27424,3.29226,23,22,6,113,Yolo,6,County
0.2108,2.69432,24,23,6,55,Napa,6,County
0.42545,3.55723,25,24,6,97,Sonoma,6,County
0.26603,3.21232,26,25,6,67,Sacramento,6,County
0.8314,5.57304,27,26,6,51,Mono,6,County
0.16166,2.83318,28,27,6,5,Amador,6,County
0.23681,2.71982,29,28,6,95,Solano,6,County
0.27623,2.87491,30,29,6,9,Calaveras,6,County
0.60444,4.87947,31,30,6,109,Tuolumne,6,County
0.1446,2.17391,32,31,6,41,Marin,6,County
0.37861,3.08073,33,32,6,77,San Joaquin,6,County
0.2013,2.6139,34,33,6,13,Contra Costa,6,County
0.40006,3.67689,35,34,6,99,Stanislaus,6,County
0.19946,2.54741,36,35,6,1,Alameda,6,County
0.38649,3.34585,37,36,6,43,Mariposa,6,County
0.00042,0.07849,38,37,6,41,Marin,6,County
0.00028,0.06847,39,38,6,75,San Francisco,6,County
0.01251,0.46771,40,39,6,75,San Francisco,6,County
0.56618,4.76815,41,40,6,39,Madera,6,County
0.12159,2.08407,42,41,6,81,San Mateo,6,County
0.00022,0.05512,43,42,6,75,San Francisco,6,County
0.51826,3.44215,44,43,6,47,Merced,6,County
1.57282,8.71738,45,44,6,19,Fresno,6,County
0.34296,3.37378,46,45,6,85,Santa Clara,6,County
2.66487,8.72858,47,46,6,27,Inyo,6,County
0.11717,2.18921,48,47,6,87,Santa Cruz,6,County
0.36289,3.47631,49,48,6,69,San Benito,6,County
0.85985,5.70575,50,49,6,53,Monterey,6,County
1.25622,5.28287,51,50,6,107,Tulare,6,County
0.36055,2.8576,52,51,6,31,Kings,6,County
5.13225,10.40871,53,52,6,71,San Bernardino,6,County
2.09583,7.2516,54,53,6,29,Kern,6,County
0.8536,5.73977,55,54,6,79,San Luis Obispo,6,County
0.651,3.97935,56,55,6,83,Santa Barbara,6,County
0.46595,2.94679,57,56,6,111,Ventura,6,County
1.00749,4.94779,58,57,6,37,Los Angeles,6,County
1.8404,7.87148,59,58,6,65,Riverside,6,County
0.02423,0.95972,60,59,6,83,Santa Barbara,6,County
0.00404,0.39889,61,60,6,83,Santa Barbara,6,County
0.02085,0.71303,62,61,6,83,Santa Barbara,6,County
0.00036,0.1788,63,62,6,111,Ventura,6,County
0.2014,2.05657,64,63,6,59,Orange,6,County
1.06449,4.62141,65,64,6,73,San Diego,6,County
0.01888,0.79372,66,65,6,37,Los Angeles,6,County
1.12036,5.0184,67,66,6,25,Imperial,6,County
0.00575,0.35201,68,67,6,111,Ventura,6,County
0.01403,0.7427,69,68,6,37,Los Angeles,6,County
